N,Código,Tipo de muestra,x,y,Zona,Hoja,Nombre del proyecto,Año del proyecto ,N° Boletín,Serie,Año de Publicación,Región,Reporte,Laboratorio,Análisis,Geología,Au_g/Tm,Hg_ppb,Ag _ppm,Ba_ppm,Co_ppm,Cr_ppm,Cu_ppm,La _ppm,Li_ppm,Ni_ppm,Pb_ppm,Sc_ppm,Rb_ppm,Sr_ppm,V_ppm,Zn_ppm,As_ppm,Bi_ppm,Cd_ppm,Mo_ppm,Sb_ppm,Tl_2_ppm,W_2_ppm,Al_pct,Ca_pct,Fe_pct,K_pct,Mg_pct,Mn_pct,Na_pct,P_pct,Si_pct,Ti_pct,Y_ppm,Zr_ppm,Be_ppm,Ce_ppm,Cs_ppm,Dy_ppm,Er_ppm,Eu_ppm,Ga_ppm,Gd_ppm,Hf_ppm,Ho_ppm,In_ppm,Lu_ppm,Nb_ppm,Nd_ppm,Pr_ppm,Sm_ppm,Ta_ppm,Tb_ppm,Th_ppm,Tm_ppm,U_ppm,W_1_ppm,Yb_ppm
68,22k-RGQ24-007,Rocas,387926,8838705,18,22-k,"GE36A9-T02: MAGMATISMO Y GEOQUÍMICA DEL BATOLITO DE LA COORDILLERA ORIENTAL DEL PERÚ CENTRAL, SU RELACIÓN CON ELEMENTOS ESTRATÉGICOS Y ÁREAS DE INTERÉS PROSPECTIVO",2024,No elaborado,No elaborado,No elaborado,Pasco,091-2024,INGEMMET,"I, IIa, IIb, III, IV","Roca intrusiva (granito?) de textura fanerítica, predomina los cristales de cuarzo.",na,na,<0.5,15,<1,4,2,5.2,<2,<5,<5,<5,4,233,<10,3,<5,<10,<1,<2,<2,<0.5,<5,0.21,34.41,0.15,0.1,0.19,0.05,0.01,<0.01,4.84,0.01,12,7,<0.6,3.7,0.25,0.8,0.5,0.2,0.5,1,<0.2,0.2,<0.2,<0.15,<0.5,3.9,0.8,0.8,<0.5,0.1,0.4,<0.1,0.7,<1,0.4
69,22k-RGQ24-001,Rocas,375398,8830985,18,22-k,"GE36A9-T02: MAGMATISMO Y GEOQUÍMICA DEL BATOLITO DE LA COORDILLERA ORIENTAL DEL PERÚ CENTRAL, SU RELACIÓN CON ELEMENTOS ESTRATÉGICOS Y ÁREAS DE INTERÉS PROSPECTIVO",2024,No elaborado,No elaborado,No elaborado,Pasco,091-2024,INGEMMET,"I, IIa, IIb, III, IV",Roca metamórfica (esquisto) de textura foliada con óxidos de manganeso (1%) en la foliación.,na,na,<0.5,416,18,77,20,26.1,17.869,42,<5,15,86,60,104,113,8,<10,<1,<2,<2,0.6,<5,8.5,0.13,5.18,2.55,1.5,0.07,1.46,0.02,28.87,0.6,38,214,3.1,127.9,5.26,6.9,3.7,1.8,23.3,9,6.1,1.3,<0.2,0.55,22,58.7,14.4,10,1.8,1.2,16.2,0.5,2.9,2,3.8
70,22k-RGQ24-001a,Rocas,375395,8830980,18,22-k,"GE36A9-T02: MAGMATISMO Y GEOQUÍMICA DEL BATOLITO DE LA COORDILLERA ORIENTAL DEL PERÚ CENTRAL, SU RELACIÓN CON ELEMENTOS ESTRATÉGICOS Y ÁREAS DE INTERÉS PROSPECTIVO",2024,No elaborado,No elaborado,No elaborado,Pasco,091-2024,INGEMMET,"I, IIa, IIb, III, IV, V",Veta de cuarzo blanco con óxidos de hierro (1%) y manganeso (1%) en microfracturas e impregnadas.,<0.027,<10,<0.5,19,1,4,2,<2,<2,<5,<5,<5,8,6,<10,3,<5,<10,<1,<2,<2,<0.5,<5,0.23,0.41,0.44,0.09,0.11,0.04,0.02,<0.01,44.72,0.01,<5,<5,<0.6,3,0.28,0.4,0.2,0.1,0.8,0.4,<0.2,<0.1,<0.2,<0.15,0.7,1.4,0.3,0.3,<0.5,<0.1,0.4,<0.1,0.1,<1,0.2
71,22k-RGQ24-011,Rocas,377929,8838770,18,22-k,"GE36A9-T02: MAGMATISMO Y GEOQUÍMICA DEL BATOLITO DE LA COORDILLERA ORIENTAL DEL PERÚ CENTRAL, SU RELACIÓN CON ELEMENTOS ESTRATÉGICOS Y ÁREAS DE INTERÉS PROSPECTIVO",2024,No elaborado,No elaborado,No elaborado,Pasco,091-2024,INGEMMET,"I, IIa, IIb, III, IV",Roca metamórfica de textura foliada con óxidos de hierro (1%).,na,na,<0.5,115,4,17,<2,7.9,6.229,8,<5,<5,41,24,34,8,<5,<10,<1,<2,<2,<0.5,<5,7.45,0.13,2.2,2.75,1.13,0.01,2.34,0.02,32.38,0.28,43,247,2.5,90.5,1.44,7.1,4.1,0.9,18.3,7.4,7.2,1.5,<0.2,0.55,17.9,41,10.1,7.5,1.6,1.2,18.4,0.6,2.7,2,3.8
72,22k-RGQ24-005,Rocas,385585,8831375,18,22-k,"GE36A9-T02: MAGMATISMO Y GEOQUÍMICA DEL BATOLITO DE LA COORDILLERA ORIENTAL DEL PERÚ CENTRAL, SU RELACIÓN CON ELEMENTOS ESTRATÉGICOS Y ÁREAS DE INTERÉS PROSPECTIVO",2024,No elaborado,No elaborado,No elaborado,Pasco,091-2024,INGEMMET,"I, IIa, IIb, III, IV",Roca metamórfica (esquisto) cloritizada (+) de textura foliada.,na,na,<0.5,369,16,55,10,15.2,13.037,29,6,10,64,47,66,126,<5,<10,<1,<2,<2,0.7,<5,7.61,0.19,4.28,2.51,1.44,0.07,1.44,0.04,31,0.47,49,235,2.8,80.1,5.08,8.3,4.7,1.5,19.2,7.9,6.6,1.7,<0.2,0.58,15.6,37.7,9.1,7.5,1.4,1.3,13.1,0.7,2.2,2,4.2
73,22k-RGQ24-005a,Rocas,385583,8831368,18,22-k,"GE36A9-T02: MAGMATISMO Y GEOQUÍMICA DEL BATOLITO DE LA COORDILLERA ORIENTAL DEL PERÚ CENTRAL, SU RELACIÓN CON ELEMENTOS ESTRATÉGICOS Y ÁREAS DE INTERÉS PROSPECTIVO",2024,No elaborado,No elaborado,No elaborado,Pasco,091-2024,INGEMMET,"I, IIa, IIb, III, IV, V",Veta de cuarzo blanco con óxidos de hierro (1%) rellenando microfracturas.,<0.027,31,<0.5,49,4,11,3,6.9,2.813,<5,<5,<5,14,16,12,11,<5,<10,<1,<2,<2,<0.5,<5,0.93,0.04,2.07,0.29,0.14,0.02,0.29,<0.01,43.17,0.06,<5,30,<0.6,17.4,0.59,1.9,0.9,0.3,2.2,1.8,0.6,0.3,<0.2,<0.15,2.1,7.9,1.9,1.5,<0.5,0.3,1.9,<0.1,0.8,2,0.9
74,22k-RGQ24-009,Rocas,380948,8827956,18,22-k,"GE36A9-T02: MAGMATISMO Y GEOQUÍMICA DEL BATOLITO DE LA COORDILLERA ORIENTAL DEL PERÚ CENTRAL, SU RELACIÓN CON ELEMENTOS ESTRATÉGICOS Y ÁREAS DE INTERÉS PROSPECTIVO",2024,No elaborado,No elaborado,No elaborado,Pasco,091-2024,INGEMMET,"I, IIa, IIb, III, IV","Roca intrusiva (metagranito?) de textura fanerítica, con feldespato potásico, cuarzo y minerales oscuros; presenta débil magnetismo.",na,na,<0.5,483,15,31,59,20.7,11.463,17,10,11,60,97,71,67,<5,<10,<1,<2,<2,<0.5,<5,7.46,1.04,3.3,3.05,1.38,0.06,2.46,0.04,30.23,0.41,44,364,2.3,87.6,0.62,8.3,5,1.2,20.1,8.2,10.5,1.7,<0.2,0.72,18.7,40.7,9.9,8,1.8,1.3,20.9,0.8,4.1,1,4.9
75,22k-RGQ24-009a,Rocas,380874,8826154,18,22-k,"GE36A9-T02: MAGMATISMO Y GEOQUÍMICA DEL BATOLITO DE LA COORDILLERA ORIENTAL DEL PERÚ CENTRAL, SU RELACIÓN CON ELEMENTOS ESTRATÉGICOS Y ÁREAS DE INTERÉS PROSPECTIVO",2024,No elaborado,No elaborado,No elaborado,Pasco,091-2024,INGEMMET,"I, IIa, IIb, III, IV, V",Veta de cuarzo blanco con óxidos de hierro (1%) en microfracturas.,<0.027,<10,<0.5,13,<1,6,<2,<2,<2,<5,<5,<5,<2,18,<10,2,<5,<10,<1,<2,<2,<0.5,<5,0.75,0.05,0.22,0.05,0.05,0.01,0.51,<0.01,45.22,0.03,<5,24,<0.6,6.2,0.08,0.6,0.4,<0.1,1.4,0.5,0.5,0.1,<0.2,<0.15,1.4,2.8,0.7,0.5,<0.5,<0.1,1.1,<0.1,0.4,<1,0.4
76,21k-RGQ24-008,Rocas,384882,8889976,18,21-k,"GE36A9-T02: MAGMATISMO Y GEOQUÍMICA DEL BATOLITO DE LA COORDILLERA ORIENTAL DEL PERÚ CENTRAL, SU RELACIÓN CON ELEMENTOS ESTRATÉGICOS Y ÁREAS DE INTERÉS PROSPECTIVO",2024,No elaborado,No elaborado,No elaborado,Pasco,091-2024,INGEMMET,"I, IIa, IIb, III, IV",Roca intrusiva (monzogranito?) de textura fanerítica cloritizada (+).,na,na,<0.5,633,2,3,<2,20.6,4,<5,8,<5,67,96,14,24,<5,<10,<1,<2,<2,0.5,<5,6.34,0.88,1.29,3.51,0.26,0.04,2.27,0.02,34.32,0.16,20,152,1.7,133.7,0.74,4.4,2.5,1.6,14.6,6.1,4.6,0.9,<0.2,0.38,13.3,49.2,14.6,7.3,1.3,0.8,15.1,0.4,3,<1,2.5
77,21l-RGQ24-001,Rocas,412491,8848504,18,21-l,"GE36A9-T02: MAGMATISMO Y GEOQUÍMICA DEL BATOLITO DE LA COORDILLERA ORIENTAL DEL PERÚ CENTRAL, SU RELACIÓN CON ELEMENTOS ESTRATÉGICOS Y ÁREAS DE INTERÉS PROSPECTIVO",2024,No elaborado,No elaborado,No elaborado,Pasco,091-2024,INGEMMET,"I, IIa, IIb, III, IV",Roca intrusiva (granito) de textura fanerítica con pátinas de óxidos de manganeso (<1%).,na,na,<0.5,158,1,5,<2,2.3,48.5,<5,49,<5,46,45,<10,25,<5,<10,<1,<2,<2,1,<5,7.77,0.88,0.7,3.12,0.15,0.02,3.01,0.05,33.51,0.06,34,70,8.9,34.3,16.3,6.3,2.7,1.8,17.4,5.2,2.4,1.1,<0.2,0.25,9.9,15.7,4.1,4.5,2.1,1,4.7,0.3,4.7,1,1.9
78,21l-RGQ24-001a,Rocas,412533,8848389,18,21-l,"GE36A9-T02: MAGMATISMO Y GEOQUÍMICA DEL BATOLITO DE LA COORDILLERA ORIENTAL DEL PERÚ CENTRAL, SU RELACIÓN CON ELEMENTOS ESTRATÉGICOS Y ÁREAS DE INTERÉS PROSPECTIVO",2024,No elaborado,No elaborado,No elaborado,Pasco,091-2024,INGEMMET,"I, IIa, IIb, III, IV, V",Veta de cuarzo con plagioclasas y flogopita en los bordes.,<0.027,<10,<0.5,61,1,4,<2,<2,32.424,<5,39,<5,103,20,<10,16,<5,<10,<1,<2,<2,1,<5,7.38,0.48,0.5,3.85,0.1,0.02,2.54,0.05,33.79,0.04,10,41,5.5,18.1,6.16,2,0.8,0.7,16.2,2.3,1.6,0.3,<0.2,<0.15,6.2,8.1,2.1,2.3,1.4,0.4,2.3,<0.1,5.1,1,0.6
79,22l-RGQ24-026,Rocas,402810,8836128,18,22-l,"GE36A9-T02: MAGMATISMO Y GEOQUÍMICA DEL BATOLITO DE LA COORDILLERA ORIENTAL DEL PERÚ CENTRAL, SU RELACIÓN CON ELEMENTOS ESTRATÉGICOS Y ÁREAS DE INTERÉS PROSPECTIVO",2024,No elaborado,No elaborado,No elaborado,Pasco,091-2024,INGEMMET,"I, IIa, IIb, III, IV","Roca intrusiva (monzogranito?) de textura fanerítica, con alto contenido de biotita (10%).",na,na,<0.5,257,10,7,14,7.8,16.436,<5,19,12,45,106,80,55,<5,<10,<1,<2,<2,0.6,<5,7.36,2.64,3.07,1.8,0.92,0.06,2.34,0.02,31.67,0.25,25,145,2.7,29,4.36,4.2,2.7,0.7,14.4,4.1,4.2,0.9,<0.2,0.44,6,16.8,3.6,3.8,0.8,0.7,9.8,0.4,4.9,<1,2.9
80,22l-RGQ24-019,Rocas,413386,8823442,18,22-l,"GE36A9-T02: MAGMATISMO Y GEOQUÍMICA DEL BATOLITO DE LA COORDILLERA ORIENTAL DEL PERÚ CENTRAL, SU RELACIÓN CON ELEMENTOS ESTRATÉGICOS Y ÁREAS DE INTERÉS PROSPECTIVO",2024,No elaborado,No elaborado,No elaborado,Pasco,091-2024,INGEMMET,"I, IIa, IIb, III, IV",Roca intrusiva (monzogranito) con impregnaciones de pirolusita (1%) y óxids de hierro (1%).,na,na,<0.5,323,1,3,<2,2.3,<2,<5,<5,<5,31,23,<10,4,<5,<10,<1,<2,<2,<0.5,<5,8.63,0.1,0.63,2.16,0.09,0.01,3.85,<0.01,33.56,0.04,20,85,4.9,50.9,1.52,3.3,1.9,0.5,17.4,3.7,3,0.7,<0.2,0.31,5.9,20.1,5.2,3.7,0.9,0.5,12.7,0.3,2.1,1,2
81,22l-RGQ24-024,Rocas,408977,8823543,18,22-l,"GE36A9-T02: MAGMATISMO Y GEOQUÍMICA DEL BATOLITO DE LA COORDILLERA ORIENTAL DEL PERÚ CENTRAL, SU RELACIÓN CON ELEMENTOS ESTRATÉGICOS Y ÁREAS DE INTERÉS PROSPECTIVO",2024,No elaborado,No elaborado,No elaborado,Pasco,091-2024,INGEMMET,"I, IIa, IIb, III, IV","Roca intrusiva (monzogranito?) de textura fanerítica, presenta plagioclasa, cuarzo y abundante biotita (10%) y flogopita (2%).",na,na,<0.5,253,18,21,30,10.6,14.487,6,7,22,46,154,145,66,<5,<10,<1,<2,<2,<0.5,<5,8.01,3.81,4.17,1.13,1.66,0.09,2.05,0.02,29.41,0.32,25,113,1.3,25.9,2.31,4,2.6,0.8,13.9,3.8,3.6,0.9,<0.2,0.42,3,14.7,3.2,3.2,<0.5,0.6,2.4,0.4,1.1,<1,2.8
82,22l-RGQ24-031,Rocas,410143,8830606,18,22-l,"GE36A9-T02: MAGMATISMO Y GEOQUÍMICA DEL BATOLITO DE LA COORDILLERA ORIENTAL DEL PERÚ CENTRAL, SU RELACIÓN CON ELEMENTOS ESTRATÉGICOS Y ÁREAS DE INTERÉS PROSPECTIVO",2024,No elaborado,No elaborado,No elaborado,Pasco,091-2024,INGEMMET,"I, IIa, IIb, III, IV","Roca intrusiva (monzogranito) de textura fanerítica con alto contenido de biotita (10%), algunas de ellas se alteran a flogopita (3%).",na,na,<0.5,235,29,53,43,10.3,6.681,16,<5,39,43,197,228,82,5,<10,<1,<2,<2,<0.5,<5,8.93,6.96,6.99,0.89,3.55,0.12,1.33,0.02,23.91,0.36,18,74,0.9,22.6,1.76,2.9,1.7,0.7,15.9,2.9,1.9,0.6,<0.2,0.29,3.2,12.8,2.7,2.6,<0.5,0.4,2.3,0.3,0.9,<1,1.8
83,22l-RGQ24-031a,Rocas,410146,8830726,18,22-l,"GE36A9-T02: MAGMATISMO Y GEOQUÍMICA DEL BATOLITO DE LA COORDILLERA ORIENTAL DEL PERÚ CENTRAL, SU RELACIÓN CON ELEMENTOS ESTRATÉGICOS Y ÁREAS DE INTERÉS PROSPECTIVO",2024,No elaborado,No elaborado,No elaborado,Pasco,091-2024,INGEMMET,"I, IIa, IIb, III, IV, V",Veta de cuarzo blanco con incrustaciones de mineral verde oliva de cristales prismáticos.,<0.027,<10,<0.5,252,2,6,2,<2,<2,<5,15,11,40,44,30,7,<5,<10,<1,<2,<2,0.7,<5,8.57,1.84,1.07,3.25,0.16,0.04,3.43,<0.01,32.51,0.06,192,123,4.2,28.3,2.38,23.7,20.9,0.4,17.1,10.5,8.4,6.1,<0.2,4.05,15.7,18,3.7,5.9,4.6,2.7,25,3.7,11.5,<1,26.6
84,22l-RGQ24-029,Rocas,400463,8826121,18,22-l,"GE36A9-T02: MAGMATISMO Y GEOQUÍMICA DEL BATOLITO DE LA COORDILLERA ORIENTAL DEL PERÚ CENTRAL, SU RELACIÓN CON ELEMENTOS ESTRATÉGICOS Y ÁREAS DE INTERÉS PROSPECTIVO",2024,No elaborado,No elaborado,No elaborado,Pasco,091-2024,INGEMMET,"I, IIa, IIb, III, IV","Roca intrusiva cloritizada (+) de textura fanerítica, con cuarzo, plagioclasas, anfíboles y cristales de biotita.",na,na,<0.5,300,2,2,3,2.6,4.831,<5,9,<5,39,40,11,29,<5,<10,<1,<2,<2,<0.5,<5,6.73,0.49,1.19,2.69,0.31,0.02,2.68,<0.01,34.88,0.09,13,80,2.1,36.3,1.51,2.1,1.4,0.5,11.2,2.3,2.4,0.4,<0.2,0.25,6.6,13.4,3.6,2.3,1,0.4,14,0.2,4.2,<1,1.7
85,22k-RGQ24-012,Rocas,389246,8818987,18,22-k,"GE36A9-T02: MAGMATISMO Y GEOQUÍMICA DEL BATOLITO DE LA COORDILLERA ORIENTAL DEL PERÚ CENTRAL, SU RELACIÓN CON ELEMENTOS ESTRATÉGICOS Y ÁREAS DE INTERÉS PROSPECTIVO",2024,No elaborado,No elaborado,No elaborado,Pasco,091-2024,INGEMMET,"I, IIa, IIb, III, IV",Roca metamórfica (esquisto) de textura foliada con óxidos de hierro (<1%).,na,na,<0.5,139,16,66,4,12.4,27.758,33,8,11,<2,440,77,53,<5,<10,<1,<2,<2,<0.5,<5,10.53,2.35,4.28,0.96,1.57,0.1,4.63,0.04,25.9,0.56,45,307,9,97.7,1.82,7.5,4.2,1.9,23.7,8.4,8.4,1.5,<0.2,0.63,20.6,46.9,11.1,8.3,1.6,1.3,16.2,0.6,3.6,<1,4.2
86,22l-RGQ24-030,Rocas,393882,8817644,18,22-l,"GE36A9-T02: MAGMATISMO Y GEOQUÍMICA DEL BATOLITO DE LA COORDILLERA ORIENTAL DEL PERÚ CENTRAL, SU RELACIÓN CON ELEMENTOS ESTRATÉGICOS Y ÁREAS DE INTERÉS PROSPECTIVO",2024,No elaborado,No elaborado,No elaborado,Pasco,091-2024,INGEMMET,"I, IIa, IIb, III, IV","Roca intrusiva (sienogranito?) de textura fanerítica, equigranular de grano grueso; con alto contenido de cristales de ortosa (15%) y cuarzo (50%).",na,na,<0.5,139,2,3,<2,4.4,10.446,<5,13,<5,79,21,16,18,<5,<10,<1,3,<2,0.9,<5,7.77,0.78,1.06,4.81,0.21,0.04,2.71,0.02,33.41,0.16,50,310,3.8,117.5,2.24,7.6,5.2,0.9,16.7,7.8,10.1,1.6,<0.2,1,29.6,48,12.6,8.3,4.5,1.2,60.4,0.9,19,2,6.3
87,22l-RGQ24-030a,Rocas,393256,8817492,18,22-l,"GE36A9-T02: MAGMATISMO Y GEOQUÍMICA DEL BATOLITO DE LA COORDILLERA ORIENTAL DEL PERÚ CENTRAL, SU RELACIÓN CON ELEMENTOS ESTRATÉGICOS Y ÁREAS DE INTERÉS PROSPECTIVO",2024,No elaborado,No elaborado,No elaborado,Pasco,091-2024,INGEMMET,"I, IIa, IIb, III, IV, V","Roca intrusiva (sienogranito?) craquelada, equigranular de grano grueso; con alto contenido de cristales de ortosa (15%) y cuarzo (50%) y vetillas/vetas de cuarzo blanco.",<0.027,237,<0.5,58,1,2,5,5.4,10.077,<5,<5,<5,150,6,<10,14,<5,<10,<1,<2,<2,1.5,8,6.47,0.05,0.57,4.45,0.1,0.02,1.16,<0.01,35.74,0.08,60,108,4.2,92.2,4.17,9.3,5.8,0.5,17.4,8.7,4.1,1.9,<0.2,0.96,20.2,43.6,11.1,8.7,2.9,1.5,36.3,0.9,6.9,8,6.6
88,22l-RGQ24-041,Rocas,410458,8816438,18,22-l,"GE36A9-T02: MAGMATISMO Y GEOQUÍMICA DEL BATOLITO DE LA COORDILLERA ORIENTAL DEL PERÚ CENTRAL, SU RELACIÓN CON ELEMENTOS ESTRATÉGICOS Y ÁREAS DE INTERÉS PROSPECTIVO",2024,No elaborado,No elaborado,No elaborado,Pasco,091-2024,INGEMMET,"I, IIa, IIb, III, IV","Roca intrusiva (granodiorita) con biotita (4%) alterándose a flogopita (1%), venilleo de cuarzo (3%) y epídota (1%).",na,na,<0.5,312,19,16,58,13.6,11.714,13,14,22,18,312,170,98,7,<10,<1,<2,<2,<0.5,<5,8.94,4.63,5.46,1.09,1.96,0.12,2.55,0.04,26.82,0.65,29,113,1.2,34.5,1,4.6,2.7,1.3,19.3,4.7,3,1,<0.2,0.41,4.1,19.4,4.2,4.4,0.5,0.7,4.7,0.4,1.3,1,2.7
89,22l-RGQ24-013,Rocas,402133,8815740,18,22-l,"GE36A9-T02: MAGMATISMO Y GEOQUÍMICA DEL BATOLITO DE LA COORDILLERA ORIENTAL DEL PERÚ CENTRAL, SU RELACIÓN CON ELEMENTOS ESTRATÉGICOS Y ÁREAS DE INTERÉS PROSPECTIVO",2024,No elaborado,No elaborado,No elaborado,Pasco,091-2024,INGEMMET,"I, IIa, IIb, III, IV","Roca intrusiva (sienogranito?) de textura fanerítica, equigranular de grano grueso; con alto contenido de cristales de ortosa (15%) y cuarzo (50%). Presenta venilleo de cuarzo con clorita en trazas.",na,na,<0.5,212,2,3,<2,9.4,2.946,<5,6,<5,60,41,15,12,<5,<10,<1,<2,<2,0.5,<5,6.9,0.45,0.97,3.64,0.38,0.02,2.73,0.01,34.21,0.14,22,204,2.7,79.6,1.19,3.7,2.3,0.8,14.1,4,6.1,0.8,<0.2,0.46,17.6,28.5,8,4.6,2.1,0.6,17.8,0.3,4.1,<1,2.8
90,22l-RGQ24-014,Rocas,397498,8823320,18,22-l,"GE36A9-T02: MAGMATISMO Y GEOQUÍMICA DEL BATOLITO DE LA COORDILLERA ORIENTAL DEL PERÚ CENTRAL, SU RELACIÓN CON ELEMENTOS ESTRATÉGICOS Y ÁREAS DE INTERÉS PROSPECTIVO",2024,No elaborado,No elaborado,No elaborado,Pasco,091-2024,INGEMMET,"I, IIa, IIb, III, IV","Roca intrusiva cloritizado (+) de textura fanerítica, compuesto de cuarzo, plagioclasas, anfíboles y biotitas",na,na,<0.5,360,3,3,3,7.2,12.105,<5,12,<5,83,60,18,26,<5,<10,<1,<2,<2,0.7,<5,7.03,0.93,1.11,3.88,0.23,0.04,2.35,0.01,33.67,0.15,27,120,3.8,77,3.32,3.9,2.6,0.9,14.4,4.4,3.8,0.8,<0.2,0.53,19,30.7,8.1,4.8,2.8,0.7,24.7,0.4,6.3,<1,3.2
91,22l-RGQ24-032,Rocas,418898,8836494,18,22-l,"GE36A9-T02: MAGMATISMO Y GEOQUÍMICA DEL BATOLITO DE LA COORDILLERA ORIENTAL DEL PERÚ CENTRAL, SU RELACIÓN CON ELEMENTOS ESTRATÉGICOS Y ÁREAS DE INTERÉS PROSPECTIVO",2024,No elaborado,No elaborado,No elaborado,Pasco,091-2024,INGEMMET,"I, IIa, IIb, III, IV","Roca intrusiva (monzogranito?) con alto contenido de plagioclasa (30%) y ortosa (10%), además de biotitas (5%) y anfíboles (3%).",na,na,<0.5,121,2,6,3,<2,14.059,<5,42,<5,65,20,<10,35,<5,<10,<1,<2,<2,0.6,<5,7.79,0.57,0.99,4.06,0.22,0.02,3.03,0.02,33.67,0.08,11,38,2.9,13,3.49,2.1,1,0.5,18.1,1.9,1.2,0.4,<0.2,<0.15,9.6,6.3,1.4,1.6,1,0.4,2.9,0.1,2.7,1,0.8
92,21l-RGQ24-004,Rocas,427642,8839343,18,21-l,"GE36A9-T02: MAGMATISMO Y GEOQUÍMICA DEL BATOLITO DE LA COORDILLERA ORIENTAL DEL PERÚ CENTRAL, SU RELACIÓN CON ELEMENTOS ESTRATÉGICOS Y ÁREAS DE INTERÉS PROSPECTIVO",2024,No elaborado,No elaborado,No elaborado,Pasco,091-2024,INGEMMET,"I, IIa, IIb, III, IV","Roca intrusiva de textura fanerítica, de grano fino a medio. Presenta plagioclasas, anfíboles alterándose a cloritas y cuarzo.",na,na,<0.5,376,6,8,15,3.7,27.302,<5,11,<5,28,78,34,43,<5,<10,<1,<2,<2,<0.5,<5,7.17,1.35,1.69,2.76,0.65,0.05,2.51,0.02,33.12,0.2,13,114,1.9,40.8,2.61,2.2,1.3,0.7,16.2,2.8,3.8,0.5,<0.2,0.25,5.3,17,4.6,3,0.7,0.4,11.5,0.2,3.2,1,1.5
93,22l-RGQ24-037,Rocas,423241,8837366,18,22-l,"GE36A9-T02: MAGMATISMO Y GEOQUÍMICA DEL BATOLITO DE LA COORDILLERA ORIENTAL DEL PERÚ CENTRAL, SU RELACIÓN CON ELEMENTOS ESTRATÉGICOS Y ÁREAS DE INTERÉS PROSPECTIVO",2024,No elaborado,No elaborado,No elaborado,Pasco,091-2024,INGEMMET,"I, IIa, IIb, III, IV","Roca intrusiva de textura fanerítica, compuesto de cuarzo, plagioclasas, anfíboles y biotitas, esta última se altera a flogopita (1%).",na,na,<0.5,571,10,21,44,15.3,23.105,12,15,7,60,186,66,52,<5,<10,<1,<2,<2,<0.5,<5,8.44,2.71,2.71,2.17,1.12,0.04,2.26,0.02,31.23,0.3,9,123,1.4,63.1,3.46,1.9,0.9,0.8,17.9,2.8,3.4,0.4,<0.2,<0.15,4.3,23.4,6.3,3.3,0.6,0.4,15.1,0.1,2.1,<1,1
94,22m-RGQ24-003,Rocas,469058,8792290,18,22-m,"GE36A9-T02: MAGMATISMO Y GEOQUÍMICA DEL BATOLITO DE LA COORDILLERA ORIENTAL DEL PERÚ CENTRAL, SU RELACIÓN CON ELEMENTOS ESTRATÉGICOS Y ÁREAS DE INTERÉS PROSPECTIVO",2024,No elaborado,No elaborado,No elaborado,Junín,089-2024,INGEMMET,"I, IIa, IIb, III","Sienogranito color rojizo, tonalidad mesócrata, textura granítica - inequigranular; feldespato potásico (55%) subhedrales, plagioclasas (15%) subhedrales, cuarzo (30%) y biotita anhedrales; fracturas rellenadas con óxidos.",na,na,<0.5,89,7,14,4,93.4,16.74,8,25,13,242,22,11,92,6,<10,<1,5,<2,1.5,7,7.72,0.22,4.41,4.1,0.2,0.04,3.14,0.02,30.12,0.39,221,1241,15.4,724.4,14.92,40.3,19.5,0.8,36.6,50.9,32.3,7,0.4,2.51,168.5,297.5,87.1,57.9,13.9,7.2,203.9,2.7,18.4,7,17.7
95,23l-RGQ24-001,Rocas,436962,8738977,18,23-l,"GE36A9-T02: MAGMATISMO Y GEOQUÍMICA DEL BATOLITO DE LA COORDILLERA ORIENTAL DEL PERÚ CENTRAL, SU RELACIÓN CON ELEMENTOS ESTRATÉGICOS Y ÁREAS DE INTERÉS PROSPECTIVO",2024,No elaborado,No elaborado,No elaborado,Junín,089-2024,INGEMMET,"I, IIa, IIb, III, IV, V","Brecha hidrotermal, textura de reemplazamiento polimíctica, matriz soportada, cemento de sílice gris -, goethita+++, hematita-, jarosita+, magnetita++; fragmentos de esquistos y tobas con alteración argílica moderada. Forma subredondeados a subangulosos con diss malq, ø > 10 - 8, ø ? 4 - 3, ø 2 - 1.5 cm. N 100°/55°NE. Ancho 2 m.",<0.027,130,<0.5,2329,31,889,6,3.3,67.321,131,<5,6,12,478,87,79,7,<10,<1,<2,24,<0.5,<5,3.42,0.01,8.41,0.39,0.03,1.1,0.3,0.04,33.61,0.39,19,60,<0.6,35,6.48,2.7,1.4,2,11.2,5.2,1.2,0.5,<0.2,0.18,3.2,25.8,5.4,7,<0.5,0.5,0.6,0.2,0.2,<1,1.2
